text,sentiment,original_text
bangga jokow jokowi bangsa sabang maroke sebentar kumpul daerah kumpul sungguh jokowi,1,"Saya bangga dengan pak jokow,pak jokowi adalah bapak persatuan bangsa dari sabang sampai maroke sebentar saja bisa kumpul di seluruh daerah sekarang kumpul sungguh luar biasa pak jokowi"
mantap pantang mundur hasil,1,"Mantab ,pantang mundur sebelum ada hasil"
perintah biat rakyat sengsara,1,Pemerintah itu gk mungkin mau berbiat rakyat sengkara
ayo rakyat perintah turun bbm,1,Ayolah rakyat bersatu.. buat pemerintah turunkan bbm
kdna demo salah perintah pikir rakyat demo,1,kdna ada demo krna kesalah sypa..klo pemerinta memikirkan rakyat kecil  tdk akan ada demo
khianat bangsa bbm kondisi inimaju maha siswa,1,Hanya penghianat bangsa yg menaikan bbm di saat kondisi saat ini...maju terus maha siswa
cebong dukung demo,1,Cebong seketika mendukung pendemo..
mahasiswa sungguh berani bela rakyatmemperjuangkan sejahtera rakyat pikir hati mulia moga sehat makmur allah amin,1,"Ini lah mahasiswa yg sesungguhnya.. berani membela kepentingan rakyat,memperjuangkan kesejahteraan rakyat.. dan mempunyai pikiran dan hati yg mulia.. semoga kesehatan dan kemakmuran selalu di berikan Allah ke pada kalian.. amin"
reseh kasihan anak anak sekolah ribu ramai indonesia murah dunia mass indonesia bangkrut orang indonesia usa numpang cari makan tolong keluarga kmp amerika rupiah harga benson ribu liter,1,Reseh amat yah kasian anak anak sekolah cuma naik jadi 10rb ajah rame amat Indonesia paling murah tau seluruh dunia naik terus mass Indonesia ga naik bangkrut dong . Aku orang Indonesia yg ada di USA lagi numpang nyari makan bisa nolongin kluarga juga yg di kmp tau ga di Amerika kalau di rupiah kan harga Benson 60rb per liter
presiden kasih harga ribu perliterpertalitegmn tuju,1,Kl gue presiden.. gue kasih harga 6rb perliter....pertalite....<br><br>Gmn ? Setuju
ayo mahasiswa rakyat dukung mu bangsa rakyat jerit butuh aksi mu elite kuasa wenang kuasa,1,"ayo mahasiswa rakyat mendukung mu, bangsa dan rakyat ini yang menjerit  membutuhkan  aksi mu, supaya para elit penguasa tidak sewenang berkuasa"
bbm sepeda sehat alhamdulillah,1,BBM naik gapapa. Kan aku naik sepeda lebih sehat. Alhamdulillah
bbm turun jokowi turun,1,BBM TURUN KALO JKW TURUN
polisi pasang kawat duri aparat tegak hukum kawal mahasiswa aspirasi benteng halang gerak mahasiswa maju mahasiswa pemuda,1,Ngapain pihak kepolisian pasang kawat duri segala. Cukup saja sebagai aparat penegak hukum kawal saja mahasiswa untuk menyampaikan aspirasi bukan jadi benteng untuk menghalangi gerakan mahasiswa. <br>Maju terus mahasiswa dan pemuda✊
bela rakyat,1,Mereka membela... rakyat kecil😭😭😭😭😭😭😭😭
mahasiswa,1,Saya pihak d mahasiswa
indonesia ubah menteri ganti biar indonesia maju,1,INDONESIA bisa berubah kalau semua Mentri harus di ganti biar Indonesia bisa maju
allah lindung mahasiswa amin,1,Ya allah lindungih para mahasiswa .amin🙏🙏
demo anarkis,1,demo jangananarkis
gabung istana demo,1,Gabung jadi satu ke istana para pendemo sudah cukup itu untuk....
salah harga bbm belikalau berat harga bbm mahal beli cari solusi,1,"Saya tidak pernah mempersalahkan harga Bbm. kalau kita perlu ya harus beli.<br>Kalau merasa berat dengan harga bbm yg mahal, jgn dibeli, cari solusi yg lain.."
personil polri emosional kendali korban coba aman damai rakyat indonesia musuh jahat rakyat butuh adil sosial indonesia harga bbm bantu rakyat rakyat sapi perah boneka mati rakyat padu sabang merauke suara indonesia tolak harga bbm cepat presiden turun harga bbm,1,"kepada personil polri jangan emosional dan kendalikan diri jangan sampai ada korban, coba mengamankan dengan damai , rakyat Indonesia bukan.musuh atau penjahat, rakyat butuh keadilan sosial seluruh Indonesia, dengan tidak menaikkan harga BBM, itu sudah membantu rakyat, ingin rakyat bukan hanya sapi perahan atau boneka mati, rakyat bersatu padu dari Sabang sampai Merauke untuk  satu suara seluruh Indonesia menolak kenaikan harga BBM , segera secepatnya presiden umumkan menurunkan harga BBM seperti semula"
polisi nmbak gas air matatolong balas budi lempar telur busukbiar kapok,1,Klau polisi nmbak gas air mata..tolong blas budii lmpar telur busuk...biar kpok tau rsanya dia...
demo harga bbm daerah laku mahasiswa warna ricuh coba mahasiswa renung juang rakyat politik harga bbm uras uang negara negara subsidi harga bbm putus perintah harga bbm mata subsidi bbm bengkak belanja perintah tutup harga bbm dana pensiun anggota dpr juang dpr hapus dana pensiun anggota dpr manfaat rakyat bakti anggota dpr nikmat dana pensiun umur hidup umur hidup loh syukur syukur dpr kenan sekian gaji tunjang elegan demo laku mahasiswa laku berfikir cerdas mudah tunggang kelompok agenda busuk gerak dukung rakyat oke,1,Demo kenaikan harga BBM disejumlah daerah yang dilakukan mahasiswa hampir semuanya diwarnai kericuhan. Dalam hal ini coba para mahasiswa renungkan sebenarnya yang kalian perjuangkan itu untuk kepentingan rakyat banyak atau kepentingan politik..? Kenaikan harga BBM jelas jelas menguras keuangan negara karena Negara selama ini mensubsidi harga BBM tsb. Jadi keputusan Pemerintah untuk menaikan harga BBM semata mata dikarenakan bila tidak dinaikan maka subsidi untuk BBM tsb semakin membengkak. Sebenarnya ada belanja pemerintah yang jumlahnya cukup memadai untuk menutup agar harga BBM tidak naik yaitu dana pensiun anggota DPR. Kenapa bukan itu yang kalian perjuangkan agar DPR mau menghapus dana pensiun anggota DPR yang jelas jelas kurang bermanfaat bagi rakyat banyak mengingat masa bakti mereka yang hanya 5 tahun tapi setelah tidak lagi menjadi anggota DPR menikmati dana pensiun seumur hidupnya. Ingat seumur hidupnya lho. Syukur syukur DPR juga berkenan mengurangi sekian % dari gaji dan tunjangan lainnya yang jumlahnyapun cukup besar. Bukankah hal itu jauh lebih elegan daripada demo yang selama ini kalian lakukan dan bila hal itu yang mahasiswa lakukan selain kalian berfikir cerdas juga tidak mudah ditunggangi kelompok yang punya agenda busuk untuk kepentingan mereka sendiri. Dan sudah pasti gerakan kalian didukung rakyat. Oke..?
hidup mahasiswa,1,Hidup mahasiswa
bagus wahasiswa,1,Bagus wahasiswa
astagfirullohsmga jokowi badan periksa uang polisi lindung allah swt,1,"Astagfirulloh!!<br>Smga pak Jokowi dan BPK polisi sellu dlm lindungan Alloh SWT,, 🤲🤲🤲"
juang rakyat turun bbm biar rakyat siksa berjuwalan bbm rakyat butuh bbm m peras rakyat,1,Lanjutkan pejuang rakyat kecil..turunkan BBM biar rakyat tidak tersiksa ..kog bisa ya pemerentah berjuwalan BBM tau kalau rakyat sangat membutuhkan BBM ..itu sama juga m we memeras rakyat...
demokrasi demo keras,1,"DEMOKRASI , yg demo di kerasi..."
tunggu angkat kemarin turun rakyat sengsara turun demo pahlawan konten payah,1,"sy hanya mau tunggu semua angkatan 98 sy kmrn dl untuk turun, sbb itulah d saat rakyat bnr&quot; sengsara. jika belum turun, kalian&quot; skrg&quot; yg demo hanyalah Pahlawan Konten. Payah"
presiden turun harga bbm,1,sudah presiden menurunkan harga BBM seperti semula
moga kuasa zalim azab allah swt amin,1,Semoga penguasa zalim segera diberi azab oleh Allah swt Aamiin
hancur aja masyarakat perang lawan hapus perintah bentuk bantu hapus biar masyarat ceki,1,"Hancurkan aja,klo bsa masyrakat berperang lawan hapuskan pemerintahan yg gnian.BLT ato sgala bntuk bantuan hapusssss,biar masyarat ga diceki truss"
juang doa cekik harga bbm orang aktivitas jarang pegang uang berangkat kerja menganggu cari nafkah keluarga,1,Terus perjuangkan. Kami do&#39;a dari kami yg terbaik buat kalian.. karna memang benar2 mencekik harga bbm. Terlalu tinggi naik nya.. orang kan aktipitas jarang juga pegang uang saat berangkat kerja.  Menganggu untuk cari nafkah keluarga
bim salabim sejahtera bim salabim murah bbm demo,1,Bim salabim SEJAHTERA bim salabim MURAH bbm naik DEMO
papua santai ribu demo bikin sulit papua serba mahal kantong santai,1,Di papua santai... Cuma naik 2000 sj demo utk ap bikn susah diri.... Papua semua serba mahal katong santai lain...
pimpin negeri tinggal tanggung jawabanya kelak akhirat sayang rakyat sengsara akibat emis gelandang anggur akibat ulah perintah allah orang aniaya doa kabul,1,"Wahai pemipin 2 kita negeri ini , kalian kalau meninggal akan diminta pertanggung jawabanya kelak di akhirat ,kalian tidak bisa menyayangi  rakyat ,tapi malah menyengsarakannya ,akibatnya banyak pengemis,gelandangan pengangguran itu akibat ulah pemerintah sekarang .tapi Alloh akan selalu bersama orang yang teraniaya dan pasti do&#39;anya akan dikabulkan."
ganti presiden orang jawa insya allah beda,1,"Ganti presiden ny jgn org Jawa, insya Alloh ada perbedaan."
hasil,1,Ada hasil blm ttp aja naik😅
salutsmngat pmii,1,Salut..smngat terus PMII
kalou urus perut rakyat takut mati demo nusantara bak orang kessurupan pandang hujan panas bbm turun,1,Kalou urusan perut Rakyat ngga takut mati. Demo di Nusantara. Bak orang kessurupan tak pandang ke hujanan /kepanasan. Minta BBM di turunkan.
dpr majelis musyawarat rakyat ketawa lihat kayak,1,DPR dan MPR mala ketawa lihat kaya gini...
juang,1,Apa yang kalian perjuangkan ..??
allah lindung juang rakyat allah jaga anak,1,Ya allah lindungilh mereka yg berjuang utk rakyat ini ya allah jaga anak&quot; km
mahasiswa juang rakyat versus polisi jalan tugas kasihan indonesia,1,Mahasiswa berjuang untuk rakyat vs polisi yg cuma menjalankan tugas...kasihan Indonesiaku
tolong banding malaysia indonesia juta duduk banding malaysia juta geografi indonesia malaysiamalaysia subsidi indonesia memudharatkan bangun ekonomi keselurohanyarakyat indonesia sabar gelombang inflasi landa dunia indonesia sahajasalam malaysia,1,"Tolong jangan bandingkan dengan Malaysia..Indonesia dengan 277 juta penduduk berbanding Malaysia 33 juta..geography indonesia jauh lebih besar dari Malaysia.<br>Malaysia boleh beri subsidi tinggi,tetapi Indonesia tidak boleh..kerna akan memudharatkan pembangunan dan ekonomi keselurohanya.<br>Rakyat indonesia perlu bersabar..gelombang inflasi melanda seluroh dunia..bukan di Indonesia sahaja.<br>Salam dari Malaysia."
majasiswa kendur bela rakyat bohong perintah,1,Terus majasiswa jangan kendor bela rakyat yang dibohongi pemerintah
selamat juang mahasiswa wakil aspirasi rakyat,1,"Selamat berjuwang para Mahasiswa,sebagai wakil Aspirasi Rakyat kecil."
mahasiswa supirtenang dukung masyarakat,1,Tadi mahasiswa sekarang supir<br>Tenang saya dukung karena saya ada di pihak masyarakat
solusi kaum muslimin agama islam murni islam rasulullah shallallahualaihi wasallam allah tolong kaum muslimin,1,"Solusinya adalah kaum Muslimin harus mengembalikan agamanya kepada <b>Islam yang murni, yaitu Islam yang telah disampaikan oleh Rasulullah Shallallahu&#39;alaihi wasallam.</b> <br>Allah akan menolong Kaum Muslimin."
syukur bahan pokok beras kuasa perintah coba kuasi hadehhhparah,1,Saya masih bersukur  bahan poko beras tidak di kuasai pemerintah cobaaa kalau di kuasi pasti mereka akan menaikan juga hadehhh..parah.
mahasiswa lidah masyarakat bela bangsa rakyat doa,1,"Hanya mahasiswa yg bisa perpanjang lidah masyarakat ,bersatu lah wahai pembela bangsa ,kami rayat selalu mendoa kan kalian"
semangat mahasiswa salur aspirasi cerdas santun,1,Semangat mahasiswa.... <br>Salurkan aspirasimi dgn cerdas dan santun
tolong wakil dpr republik indonesia majelis musyawarat rakyat republik indonesia dprd terima wakil demonstran duduk pesan dpr republik indonesia majelis musyawarat rakyat republik indonesia jatuh korban suasana tenang dpr republik indonesia majelis musyawarat rakyat republik indonesia dprd bubar,1,"tolong perwakilan DPR RI dan MPR RI dan DPRD Nerima perwakilan demonstran untuk duduk menyampaikan  pesan untuk DPR RI dan MPR RI supaya gak jatuh korban , tetapi suasana tenang , kalau gak lebih baik DPR RI dan MPR RI dan DPRD di bubarkan aja"
pilih pimpin lihat uang kerja lihat,1,makanya memilih pemimpin jgan lihat uangnya kenerjanya yg dilihat
mahasiswa demo tolak putus dpr anggota dpr dukung putus dpr negeri,1,"Saya yakin diantara banyaknya mahasiswa yg Demo menolak keputusan DPR pasti suatu saat nanti akan menjadi anggota DPR itu juga, dan suatu saat nanti akan mendukung keputusan DPR itu sendiri, dan saya yakin itu akan terus menerus terjadi di Negeri kita"
demo sibuk cari kerja,1,"kalian demo, saya lagi sibuk cari kerja.."
bbm turun,1,Bbm harus turun
jokowi senang rakyat,1,jokowi udah senangkah anda melihat rakyatmu seperti ini
hebat negeri,1,Hebatnya negriku
biarinbiar ramai biar negara lihat kondisi indonesia,1,"Biarin...biar rame, biar negara lain bisa lihat kondisi Indonesia saat ini."
untung polri,1,Untung ada POLRI👍👍👍
hidup mahasiswa hidup rakyat moga juang merdekaaa,1,Hidup mahasiswa ..hidup rakyat ..smga perjuangan kalian tidak sia sia ..merdekaaa
sby presiden bocah cilik ingus betapa siksa bbm gaji bbm mahal pertamax ribu premium k golong anak anak senangy main sensasi,1,Saat SBY jadi presiden mereka masih bocil dan masih ingusan makanya mereka ga pernah tahu betapa saat itu sangat menyiksa waktu kenaikan BBM gajih kecil BBM mahal Pertamax 12k dan premium 65k kalau saat ini masih tergolong kecil cuma ya sudahlah mereka inikan cuma anak2 yg lagi senang2&#39;y bermain dan buat sensasi 🤣
demo orang orang demo kaya ajar hukum tawar minyak perintah bumi habis murah abis rugi uang perintah subsidi triliun subsidi nikmat kalang kalang orang orang beli rokok quotbensin murah sia siain bensin demo indonesia kayak bbm uang kertas uang ubah minyak bbm kuda sepeda kayak orang negeri mobil listrik,1,"Demo kaga ada gunanya, Orang-orang yang demo kayanya ga pernah belajar hukum permintaan dan penawaran. Minyak bukan berasal dari pemerintah 🗿, tapi dari dalam bumi, dan itu akan habis sekitar 5-10 tahun mendatang. Jika dibuat muraaaaaah terus, belum 10 tahun juga pasti abis, terus ngerugiin uang pemerintah buat subsidi triliunan kaga ada gunanya, toh subsidi nya dinikmatin semua kalangan, bukan kalangan orang-orang yang beli rokok aja ga mampu. &quot;Bensin murah di sia-siain, bensin naik di demo&quot; Dikira di Indonesia kaya akan BBM apa. Uang itu cuma kertas, ga bisa uang berubah menjadi minyak🗿. Kalau ga mau BBM naik ya naik kuda, atau sepeda 🚴🚲kaya orang luar negeri, atau mobil listrik."
woyyyyykesekian kali harga bbm mafia migas mafia tambang mafia migor mafia hukum mafia tanah mafia nyata rezim mafia laknat sembah drama tipu tipu peras rakyat adik kakak asuh sambo geliat periode rezim rakyat gentar,1,"Woyyyyy...Kesekian kali menaikan harga bbm,oooii  mafia migas, mafia tambang, mafia migor, mafia hukum, mafia tanah, kami tau mafia itu nyata, rejim mafia terlaknat masih kurangkah mempersembahkan drama tipu2, memeras rakyat..woy para adik&amp;kk asuh sambo yg menggeliat demi perpanjang periode rejim. rakyat tidak gentar..........."
suka ricuh cari sensasi jenuh gaduh hasil nol,1,"Memang suka ricuhhhh, cari sensasi, sebenarnya aku sudah jenuhhh dengan kegaduhannn. Hasilnya juga nooooooooooooooollllllllllllllllllll 😎"
demo rumah mega wati keluarga markas pdisiapa tangis harga bbm turun,1,Harusnya ada yg demo ke rumah mega Wati dan keluarganya serta markas besar PDI<br>Siapa tau mereka nangis2 sehingga harga BBM turun
mantap perjuangann mahasiswa judul berita evaluasi,1,Mantappp perjuangann mahasisiwaa... Judull beritanya perlu di evaluasi..
perintah sedia transportasi ramah lingkung indonesia kerja transportasi kendara pribadi,1,Pemerintah perlu menyediakan transportasi umum yang memadai dan ramah lingkungan di seluruh indonesia agar para pekerja menggunakan transportasi umum bukan kendaraan pribadi.
harap tenang dunia inflasi,1,Harap tenang aje dulu. Kenaikan mungkin sementara. Seluruh dunia inflasi.
lihat ulang reformasi,1,Kita liat apa akan terulang reformasi 98
ayo mahasiswa tuntut beres rezim,1,"Ayo mhswa tuntut terus, makin ga beres ini rezim."
aq bingung kuasa presiden dpr,1,Aq bingung. Sbenernya yg berkuasa. Presiden apa DPR.??
suka gaya,1,Saya suka gaya mereka 👏👏👏
perintah rakyat imbang moga krisis global indonesia juang mahasiswa encer dikit tindak ujung salam negara republik indonesia,1,"PEMERINTAH DAN RAKYAT BALANCE <br>SEMOGA BISA MELEWATI KRISIS GLOBAL INI , KITA INDONESIA BERJUANG BERSAMA ,MAHASISWA  ENCER DIKIT YA JANGAN BERTINDAK YG UJUNGNYA 😢, SALAM NKRI"
kadang bingung harga bbm indonesia harga negeri upah indonesia negeri kentut,1,Kadang bingung... Harga BBM di Indonesia mau disama2kan dengan harga di luar negeri... Hellow... Upah di Indonesia udah disamakan blm sama di luar negeri... 🤣🤣🤣 Kentut...
indonesia hasil juta barrel minyak mentah duduk juta barel orang indonesia butuh bbm barel orang indonesia beli impor paruh minyak negeri habis devisapada malaysia hasil juta barrel minyak mentah duduk juta duduk malaysia hasil tujuh barel tujuh kali lipat minyak banding duduk indonesia butuh bbm barel orang malaysia jual expor minyak negeri hasil devisa negara rakyat,1,"Pada tahun 2020, Indonesia secara keseluruhan menghasilkan sekitar 259,25 juta barel minyak mentah dgn penduduk sekitar 260 juta. Atau hampir 1 barrel yg didapat utk tiap orang Indonesia.   Padahal kebutuhan bbm sekitar 2 barrel per orang.  Berarti indonesia harus membeli (IMPOR) SEPARUH minyaknya dari luar negri dan menghabiskan devisa.<br><br>Pada tahun yg sama, Malaysia secara keseluruhan menghasilkan hampir 216 juta barel minyak mentah dgn penduduk sekitar 30 juta.  Berarti tiap penduduk Malaysia menghasilkan sekitar lebih dari 7 barrel atau lebih dari 7 kali lipat minyak dibanding penduduk Indonesia.  Kebutuhan bbm sekitar 2 barrel per orang.  Berarti Malaysia bisa menjual (EXPOR) lebih dari 70% minyaknya ke luar negri utk menambah penghasilan devisa negara dan rakyatnya."
moga lindung allah subhanahu wa taala parapejuang,1,semoga di sllu di lindungi allah SWT parapejuang
hidup mahasiswa,1,HIDUP MAHASISWA!!
semangat demo,1,Semangat pendemo
keras kadang perintah,1,Kalo gak di kerasin kadang pemerintah ga tau diri 😄
bogor hadir polisi aredan bbm tangkuraknamah enak bangku panas,1,"Bogor hadir,,,polisi aredan sakalian toktrok huluna <br>Bbm naek tangkuraknamah ngenah&quot; diuk na bangku panas"
harap bbm capai ribu liter pertalite ribu liter kendara aman aman sepeda jalan kaki budaya orang indonesia asli bro lomba lomba gaya hiduppikirin hidup ajabawa santai saudara bawa emosi,1,"Harapan sy BBM harus naik mencapai 25rb/liter utk pertalit dan utk pertamak seharusnya hingga 50rb/liter <br><br>Soalnya saya ga punya kendaraan Aman aman saja mau kemana saja naik sepeda atau jalan kaki budayakan org Indonesia asli bro,,,bukan berlomba lomba buat mengedepankan GAYA hidup,<br>Pikirin hidup aja.<br><br>Bawa santai bro bukan bawa Emosi <br>---------------------------------------------------------"
papua bi bagus mahal marah,1,Papua bi like kami udah mahal dari dulu gak marah
allahuakbarr tugas lindung rakyat dongjan curi harta bangsa batal ikn,1,Allahuakbarr. Petugas lindungi rakyat dong<br>Jan para pencuri harta bangsa. Batalkan ikn
pikir rakyat putus putus oknum,1,Pikirkan rakyat sebelum membuat keputusan jangan membuat keputusan hanya untuk kepentingan oknum tertentu!!!
pikir rakyat putus putus oknum,1,Pikirkan rakyat sebelum membuat keputusan jangan membuat keputusan hanya untuk kepentingan oknum tertentu!!
marah wajar rena akibat bijak salah derita rakyat,1,Kemarahan yg wajar kerena akibat kebijakan yg salah tidak melihat penderitaan rakyatnya..
beli motor juta sanggup beli pertalite ribu sanggup sby bbm lipat diam ribu ngamuk orang negeri senang indonesia kacau singapura koruptor simpan uang korupsi hambalang asabri garuda abad petral bubar jiwasraya blbi sby dukung berantas korupsi,1,"Beli motor 25 juta sanggup beli pertailite nambah 2000 an gk sanggup, SBY manaikan BBM 3 x lipat dulu diam , kok dinaikan 2 ribuan ngamuk, org luar negeri senang Indonesia kacau, seperti Singapura pendapatan nya berkurang karena koruptor tak bisa lagi simpan uang disana, seperti korupsi hambalang, asabri, Garuda, Century, Petral bubar, Jiwasraya, BLBI semasa sby, kok didukung katanya mau berantas korupsi,"
kuliah kuliah cepat lulus,1,"Kuliah kuliah, cepetan lulus"
bijak perintah bijaksana rakyat demo,1,Jika kebijakan pemerintah itu benar2 bijaksana pada rakyatnya tidak akan ada demo2
bbm turun revolusi presiden turun,1,BBM tdk akan pernah turun sebelum revolusi atau presiden yg turun
polisi tembak rusuh tembak polisi,1,Saatnya polisi tembak perusuh ini bukan malah tembak polisi..
maju teruuuuus,1,Majuu teruuuuus...💪💪
semangat saudara moga sehat,1,Semangat saudara ku semoga sehat selalu
pemuda harap bangsa,1,Para pemuda harapan Bangsa..wkwkwkk
cepat lambat bbm sesuai kantong orang kantong harap harga,1,"Cepat atau lambat BBM pasti harus naik. Asal kenaikannya sesuai dengan kantong kita, karena kan tidak semua orang punya kantong yang sama. Jadi kita berharap naiknya tidak terlalu jauh dari harga awalnya."
adil perang turun,1,Tidak ada keadilan tanpa peperangan! TURUNKAN!!!
apresiasi juang mahasiswa suara jerit cilik pensiun pangkat doa selamat sehat anak anak mahasiswa allah hu akbar,1,"Apresiasi Perjuangan para Mahasiswa dlm menyuarakan Jeritan Wong Cilik,Saya Pangsiunan AD Pangkat Bawahan Bisanya Hanya Berdoa keselamatan Kesehatan Anak anak Mahasiswa,....Alloh Hu Akbar"
semangat lawan adil negeri,1,Semangat... lawan ketidak Adilan di negri ini...
sabar uji,1,Sabar ini ujian
tolong pindah kewarganegaraan gratis hidup tenang adil negeri damba,1,"Tolong beri saya pindah kewarganegaraan gratis, agar saya hidup tenang dan adil di negeri yg saya dambakan selamaya"
hidup mahasiswa persiden tahan ka harga bbm kawan jokowi lengser rakyat dampak,1,Hidup mahasiswa.👍👍👍 Persiden GX bisa mempertahan ka harga BBM mah ges Jokowi lengser dari sekarang  rakyat kecil yg Jdi dampak ya
takut polisi polisi tampil rakyat,1,Jangan takut polisi polisi itu penampilan rakyat
mantap ganti presiden,1,Mantapppppp ganti presiden
harap bbm turun kasihan anak kost pinggir uang bensin boros uang makan,1,Saya berharap bbm turun. Kasihan anak kost di pinggiran uang bensin lebih boros dari uang makan.
dpr republik indonesia agenda sidang paripurna hak angket indonesia cepat selesai,1,Sdh saatnya DPR RI mengagendakan sidang paripurna hak angket agar Indonesia cepat selesai dari permasalahan ini
demonstrasi ubah bijak perintah,1,Meskipun demonstrasi dimana-mana dan sampai kapanpun tetap tidak akan merubah kebijakan pemerintah 😁
perintah menang salah perintah saran perintah jujur perintah kuat amin,1,"Memang Pemerintah harus menang dikit dikit yang disalahkan Pemerintah, maka saran untuk Pemerintah jujur dalam      pemerintahan sehingga kuat.Aamiin. 🙏🙏🙏."
maklum mahasiswa sekolah anak anak bawa emosi alat turun bbm usaha bbm mobil orang orang alat biar turun bbm demo rusak rugi indonesia indonesia mebiayak anak bangsa sekolah ngeri beasiswa asli lihat negeri bbm mahal aja indonesia setan,1,Maklum lah.. mahasiswa Masi sekolah dan masih anak anak .. blom bekerja juga... jadi bawaan nya emosi.. padahal mereka cumn alat buat nurunkan BBM... Karna pengushan tidak mau BBM naik dan yang bermobil.. jadi orang orang ini la alat nya biar bisa nurunkan BBM... Dengan demo merusa merugikan Indonesia.. padahal naik cumn sedikit.. Indonesia terlalu bnyak mebiayak anak bngsa seklh sampai luar ngeri dengbiayasiswa.. asil nya begini ...lihat diluar negri sana BBM mahal biasa aja....DIINDONESIA naik dikit... Udh macem kesetaan..
moga mahasiswa gerak orang tanggung moga selamat lahir batin aamiiiin,1,"Semoga mahasiswa tidak digerakkan oleh orang yang tidak bertanggung jawab, semoga semuanya selamat lahir batin, aamiiiin...."
sembunyi istana berani,1,Paling jg smbunyi diistana gk berani kluar 😂😂😂
woykesekian kali harga bbm mafia migas mafia tambang mafia migor mafia hukum mafia nyata rezim mafia laknat sembah drama tipu tipu peras rakyat adik kakak asuh sambo geliat periode rezim rakyat gentar,1,"Woy....Kesekian kali menaikan harga bbm,oooii  mafia migas, mafia tambang, mafia migor, mafia hukum, kami tau mafia itu nyata, rejim mafia terlaknat masih kurangkah mempersembahkan drama tipu2, memeras rakyat..woy para adik&amp;kk asuh sambo yg menggeliat demi perpanjang periode rejim. rakyat tidak gentar....."
demo massal provinsi,1,Demo massal seluruh Provinsi
senjata rahasia lawan polisi sambo,1,Gunakan senjata rahasia utk lawan polisi Sambo
biar demo bedar suara,1,biar demo besar bedaran suara
